run,judge_run_id,report_id,split,quality_tier,human_score,system_score,signed_error,absolute_error
1,dcbd993c1a3d44daaa665430354949d1,real-paper-03-differt2d-high,validation,high,100,100,0,0
1,dcbd993c1a3d44daaa665430354949d1,real-paper-03-differt2d-low,validation,low,21.5,34.5,13,13
1,dcbd993c1a3d44daaa665430354949d1,real-paper-03-differt2d-medium,validation,medium,55,87.5,32.5,32.5
1,dcbd993c1a3d44daaa665430354949d1,real-paper-04-lyceanem-high,validation,high,100,100,0,0
1,dcbd993c1a3d44daaa665430354949d1,real-paper-04-lyceanem-low,validation,low,21.5,34.5,13,13
1,dcbd993c1a3d44daaa665430354949d1,real-paper-04-lyceanem-medium,validation,medium,55,87.5,32.5,32.5
1,dcbd993c1a3d44daaa665430354949d1,real-paper-05-itmlogic-high,test,high,100,100,0,0
1,dcbd993c1a3d44daaa665430354949d1,real-paper-05-itmlogic-low,test,low,21.5,34.5,13,13
1,dcbd993c1a3d44daaa665430354949d1,real-paper-05-itmlogic-medium,test,medium,55,87.5,32.5,32.5
1,dcbd993c1a3d44daaa665430354949d1,real-paper-06-cdcam-high,test,high,100,92.5,-7.5,7.5
1,dcbd993c1a3d44daaa665430354949d1,real-paper-06-cdcam-low,test,low,21.5,34.5,13,13
1,dcbd993c1a3d44daaa665430354949d1,real-paper-06-cdcam-medium,test,medium,55,87.5,32.5,32.5
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-03-differt2d-high,validation,high,100,100,0,0
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-03-differt2d-low,validation,low,21.5,34.5,13,13
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-03-differt2d-medium,validation,medium,55,87.5,32.5,32.5
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-04-lyceanem-high,validation,high,100,100,0,0
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-04-lyceanem-low,validation,low,21.5,34.5,13,13
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-04-lyceanem-medium,validation,medium,55,87.5,32.5,32.5
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-05-itmlogic-high,test,high,100,100,0,0
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-05-itmlogic-low,test,low,21.5,34.5,13,13
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-05-itmlogic-medium,test,medium,55,87.5,32.5,32.5
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-06-cdcam-high,test,high,100,100,0,0
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-06-cdcam-low,test,low,21.5,34.5,13,13
2,f1e28c670a1d47aab69739fa4b030e97,real-paper-06-cdcam-medium,test,medium,55,87.5,32.5,32.5
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-03-differt2d-high,validation,high,100,100,0,0
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-03-differt2d-low,validation,low,21.5,34.5,13,13
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-03-differt2d-medium,validation,medium,55,87.5,32.5,32.5
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-04-lyceanem-high,validation,high,100,100,0,0
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-04-lyceanem-low,validation,low,21.5,27,5.5,5.5
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-04-lyceanem-medium,validation,medium,55,87.5,32.5,32.5
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-05-itmlogic-high,test,high,100,100,0,0
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-05-itmlogic-low,test,low,21.5,34.5,13,13
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-05-itmlogic-medium,test,medium,55,87.5,32.5,32.5
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-06-cdcam-high,test,high,100,100,0,0
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-06-cdcam-low,test,low,21.5,34.5,13,13
3,0a1019c85ef543ebb2a5be90b7e71733,real-paper-06-cdcam-medium,test,medium,55,87.5,32.5,32.5
